Dates,PX_LAST
1995-01-31,969917
1995-02-28,960039
1995-03-31,1043928
1995-04-30,1022904
1995-05-31,979813
1995-06-30,1035459
1995-07-31,972275
1995-08-31,940128
1995-09-30,988704
1995-10-31,1014311
1995-11-30,991886
1995-12-31,932678
1996-01-31,973838
1996-02-29,1009129
1996-03-31,1077791
1996-04-30,1072582
1996-05-31,1039385
1996-06-30,1046895
1996-07-31,1003009
1996-08-31,914458
1996-09-30,1033508
1996-10-31,1127762
1996-11-30,1077333
1996-12-31,999370
1997-01-31,1018439
1997-02-28,965361
1997-03-31,1055935
1997-04-30,1140529
1997-05-31,1056392
1997-06-30,1089836
1997-07-31,999490
1997-08-31,933594
1997-09-30,1078672
1997-10-31,1100066
1997-11-30,1123607
1997-12-31,1047814
1998-01-31,1056317
1998-02-28,1088616
1998-03-31,1151515
1998-04-30,1201529
1998-05-31,1157679
1998-06-30,1163783
1998-07-31,1086060
1998-08-31,984122
1998-09-30,1090123
1998-10-31,1105079
1998-11-30,1132028
1998-12-31,974419
1999-01-31,1089342
1999-02-28,1063148
1999-03-31,1157050
1999-04-30,1193861
1999-05-31,1172451
1999-06-30,1257289
1999-07-31,1190610
1999-08-31,1120606
1999-09-30,1152310
1999-10-31,1170044
1999-11-30,1197086
1999-12-31,1139276
2000-01-31,1149296
2000-02-29,1177390
2000-03-31,1279277
2000-04-30,1342779
2000-05-31,1319919
2000-06-30,1318502
2000-07-31,1253802
2000-08-31,1172806
2000-09-30,1288454
2000-10-31,1320144
2000-11-30,1305680
2000-12-31,1168065
2001-01-31,1248410
2001-02-28,1204490
2001-03-31,1314341
2001-04-30,1228362
2001-05-31,1218871
2001-06-30,1232745
2001-07-31,1207362
2001-08-31,1162400
2001-09-30,1169073
2001-10-31,1235574
2001-11-30,1218877
2001-12-31,1146028
2002-01-31,1209871
2002-02-28,1180245
2002-03-31,1261618
2002-04-30,1278630
2002-05-31,1310202
2002-06-30,1260043
2002-07-31,1306963
2002-08-31,1256700
2002-09-30,1258571
2002-10-31,1311967
2002-11-30,1177514
2002-12-31,1149532
2003-01-31,1237908
2003-02-28,1194442
2003-03-31,1341214
2003-04-30,1263659
2003-05-31,1292173
2003-06-30,1318879
2003-07-31,1245194
2003-08-31,1171832
2003-09-30,1323096
2003-10-31,1267449
2003-11-30,1320563
2003-12-31,1227832
2004-01-31,1322584
2004-02-29,1372116
2004-03-31,1540880
2004-04-30,1472263
2004-05-31,1341818
2004-06-30,1401232
2004-07-31,1379873
2004-08-31,1282517
2004-09-30,1385950
2004-10-31,1324262
2004-11-30,1386990
2004-12-31,1256402
2005-01-31,1388793
2005-02-28,1340750
2005-03-31,1373654
2005-04-30,1367428
2005-05-31,1389509
2005-06-30,1456206
2005-07-31,1383498
2005-08-31,1324270
2005-09-30,1507281
2005-10-31,1382162
2005-11-30,1364432
2005-12-31,1370926
2006-01-31,1464456
2006-02-28,1324158
2006-03-31,1433684
2006-04-30,1430329
2006-05-31,1536422
2006-06-30,1394823
2006-07-31,1451000
2006-08-31,1354670
2006-09-30,1465484
2006-10-31,1396827
2006-11-30,1403779
2006-12-31,1295209
2007-01-31,1494626
2007-02-28,1473886
2007-03-31,1533480
2007-04-30,1554368
2007-05-31,1559822
2007-06-30,1593500
2007-07-31,1463311
2007-08-31,1423663
2007-09-30,1434378
2007-10-31,1554211
2007-11-30,1492221
2007-12-31,1430591
2008-01-31,1505253
2008-02-29,1563811
2008-03-31,1564139
2008-04-30,1567867
2008-05-31,1558866
2008-06-30,1525489
2008-07-31,1548563
2008-08-31,1424629
2008-09-30,1519836
2008-10-31,1538940
2008-11-30,1418791
2008-12-31,1391388
2009-01-01,1334644.538
2009-02-28,1398519.949
2009-03-31,1494232.674
2009-04-30,1567868.676
2009-05-31,1594813.163
2009-06-30,1617702.609
2009-07-31,1553705.403
2009-08-31,1446215.817
2009-09-30,1564523.011
2009-10-31,1472323.402
2009-11-30,1464919.414
2009-12-31,1503092.122
2010-01-31,1452042.464
2010-02-28,1401347.075
2010-03-31,1714118.414
2010-04-30,1629863.046
2010-05-31,1688888.39
2010-06-30,1672609.816
2010-07-31,1659126.303
2010-08-31,1637970.349
2010-09-30,1657258.135
2010-10-31,1563796.949
2010-11-30,1601215.586
2010-12-31,1565600.973
2011-01-31,1638830.189
2011-02-28,1470812.316
2011-03-31,1595785.803
2011-04-30,1590280.195
2011-05-31,1680182.81
2011-06-30,1647942.063
2011-07-31,1586044.856
2011-08-31,1696689.961
2011-09-30,1652992.783
2011-10-31,1711109.981
2011-11-30,1747055.176
2011-12-31,1627565.808
2012-01-31,1709527.428
2012-02-29,1652145.336
2012-03-31,1812285.56
2012-04-30,1741098.414
2012-05-31,1704713.598
2012-06-30,1659405.407
2012-07-31,1668443.305
2012-08-31,1686697.96
2012-09-30,1727149.997
2012-10-31,1692211.926
2012-11-30,1717970.701
2012-12-31,1628231.801
2013-01-31,1666876.355
2013-02-28,1555887.509
2013-03-31,1662714.559
2013-04-30,1675586.766
2013-05-31,1747762.739
2013-06-30,1821381.641
2013-07-31,1859559.538
2013-08-31,1728068.776
2013-09-30,1916169.301
2013-10-31,1870311.886
2013-11-30,1948450.538
2013-12-31,1822176.89
2014-01-31,1892039.027
2014-02-28,1696636.691
2014-03-31,1902390.751
2014-04-30,2041516.15
2014-05-31,1938577.239
2014-06-30,1922951.226
2014-07-31,1877744.68
2014-08-31,1842828.754
2014-09-30,1899225.403
2014-10-31,1990010.575
2014-11-30,1968661.441
2014-12-31,1865506.062
2015-01-31,1815390.06
2015-02-28,1677811.701
2015-03-31,1899128.15
2015-04-30,1943516.522
2015-05-31,1940181.861
2015-06-30,1938088.323
2015-07-31,1915794.737
2015-08-31,1841698.763
2015-09-30,1927116.152
2015-10-31,1998708.671
2015-11-30,2039895.945
2015-12-31,2049750.114
2016-01-31,1872207.989
2016-02-29,1848236.92
2016-03-31,2016317.831
2016-04-30,2096181.987
2016-05-31,1986068.502
2016-06-30,2033928.582
2016-07-31,1856090.613
2016-08-31,1860480.736
2016-09-30,1972589.73
2016-10-31,1922050.501
2016-11-30,1945558.246
2016-12-31,1946261.363
2017-01-31,1860183.904
2017-02-28,1734885.719
2017-03-31,2019778.907
2017-04-30,1971820.781
2017-05-31,2013234.271
2017-06-30,1995778.045
2017-07-31,1984030.417
2017-08-31,1891489.231
2017-09-30,2064952.896
2017-10-31,1953560.904
2017-11-30,1944767.211
2017-12-31,2062545.213
2018-01-31,1999135.338
2018-02-28,1832537.246
2018-03-31,1925955.523
2018-04-30,2037876.391
2018-05-31,2062561.469
2018-06-30,2028936.683
2018-07-31,2018224.925
2018-08-31,2017841.35
2018-09-30,2062581.293
2018-10-31,2005707.882
2018-11-30,2075510.172
2018-12-31,2066171.727
2019-01-31,2009983.5
2019-02-28,1681930.5
2019-03-31,1957887.5
2019-04-30,2171204.5
2019-05-31,1976573.5
2019-06-30,1997525.5
2019-07-31,2064641
2019-08-31,1957697.5
2019-09-30,2041028
2019-10-31,2111002
2019-11-30,2100357
2019-12-31,2057773.5
2020-01-31,2005177.5
2020-02-29,1779244.5
2020-03-31,1939810
2020-04-30,2044886.5
2020-05-31,2058511
2020-06-30,2133884.5
2020-07-31,2138081
2020-08-31,2160711.5
2020-09-30,2271428.5
2020-10-31,2244699
2020-11-30,2130682
2020-12-31,2073899
2021-01-31,2001434.439
2021-02-28,1803950.536
2021-03-31,2060395.469
2021-04-30,2101755.49
2021-05-31,2082632.697
2021-06-30,2149668.562
2021-07-31,2115040.365
2021-08-31,2019352.777
2021-09-30,2111663.036
2021-10-31,2064926.752
2021-11-30,2135856.662
2021-12-31,2175215.314
2022-01-31,2105512.564
2022-02-28,1837285.568
2022-03-31,2162324.254
2022-04-30,2085543.007
2022-05-31,2117484.932
2022-06-30,2209854.751
2022-07-31,2129088.133
2022-08-31,2124432.105
2022-09-30,2111490.843
2022-10-31,2085632.338
2022-11-30,2237807.24
2022-12-31,2148356.118
2023-01-31,2121282.622
2023-02-28,1975076.391
2023-03-31,2168189.614
